,0
0,1671742460.138245
1,1632593893.1269991
2,1632432349.114844
3,1658312775.706685
4,1584354682.4790485
5,1645969706.8267493
6,1636865516.6383457
7,1556435356.8173947
8,1553930994.6335378
9,5938322857.974913
10,47097965137.06102
11,104502599464.92728
12,44603531307.67093
13,27637186395.21829
14,26417369780.778122
15,25231145979.600147
16,18923738052.56318
17,16925366117.242167
18,19538095818.751003
19,18371087042.062923
20,19251190965.95722
21,19000908256.894226
22,24917631568.036392
23,23147008814.871914
24,17339764406.068935
25,24933626983.79554
26,29369518271.276093
27,29311724433.201855
28,26951338018.20064
29,28202455160.51238
30,27947661615.0956
31,37819880701.565056
32,34708142610.311325
33,35325748664.01871
34,38679195583.90787
35,40609639507.89815
36,47680820430.931206
37,50168114290.78771
38,52856554756.728836
39,50050466948.071
40,46560585784.20689
41,62314726917.06232
42,65948785603.418076
43,88622455949.27286
44,97523292006.35544
45,83546892603.33376
46,88688624030.69984
47,92460733768.1646
48,109460511419.58647
49,118938055297.11597
50,124313341952.16351
51,107200711595.9218
52,111462679996.42873
53,132210899900.03851
54,137483568850.55576
55,99816293316.54097
56,110862349009.1038
57,123358534973.36864
58,143525279323.83356
59,141473011905.31262
60,109318169442.10747
61,125793147312.90059
62,142474803840.72595
63,139070787113.86267
64,161506965697.34735
65,122909304660.03357
66,112739154145.51625
67,132604547226.51132
68,129609961468.59883
69,121401457006.64221
70,122340462346.3338
71,128290032172.62276
72,146455149989.1309
73,133016394448.27095
74,130401799352.39665
75,129725695071.13824
76,149337665591.63504
77,133194300337.55725
78,133000611781.86879
79,142984545619.8687
80,139067045560.0133
81,150415115649.81564
82,139290783148.0742
83,143313238459.3047
84,163350198790.86026
85,159115206543.5714
86,124999731924.71329
87,144003828349.9246
88,136119875628.6466
89,129689102349.00894
90,156095956873.5066
91,158302389546.60226
92,164793546750.98074
93,119257476958.81735
94,144589795518.07248
95,148002357086.66818
96,145703453886.72076
97,138234631771.31903
98,158176090522.3104
99,178762979248.53693
100,158067769938.21
101,153385247573.53076
102,160146929368.5612
103,176481945728.58475
104,139794784837.81146
105,150216344239.83206
106,180777048200.1603
107,157191027592.56467
108,155064252516.01865
109,164716912498.1424
110,170819382089.845
111,147354237739.95895
112,146139443479.43988
113,137305117732.38847
114,168619823908.44763
115,143241184195.06485
116,155291328577.1672
117,159476109104.6777
118,166247764362.9187
119,151569547629.98282
120,166882007728.16995
121,159461262008.42758
122,173756711173.76642
123,170968935162.31674
124,157185023296.60202
125,176413351656.72083
126,156062833335.9529
127,157594754158.81577
128,172826389325.9736
129,157888474137.72992
130,159907624895.2727
131,187611125355.08075
132,177852214617.20926
133,159389816482.72668
134,181159184056.34338
135,172897560854.40762
136,182447964492.6409
137,163111418057.90897
138,186964874734.45142
139,189577294086.29352
140,183857746708.86246
141,201675171358.66342
142,200384731725.95343
143,172494139766.5143
