,0
0,1553478159.0686257
1,1572712387.045811
2,1556408155.456591
3,1602126702.6039708
4,1612771273.1702688
5,1539569043.5060453
6,1551492877.067813
7,1439859676.334408
8,1460351923.830592
9,1515023955.7342265
10,27644234318.54304
11,100070337726.18785
12,29651085328.966755
13,18762015546.37421
14,16193507183.109009
15,10204120128.368992
16,17220278675.58887
17,23137579635.585815
18,23466439985.829952
19,23871562984.28665
20,27212461915.56095
21,28427799835.189785
22,30381706539.76108
23,29536643537.351097
24,24081943806.666145
25,20781052800.968224
26,26253014999.208824
27,20528481087.734344
28,23775856302.000008
29,30747056840.286964
30,42808883721.55271
31,33084632290.65351
32,39074688514.18134
33,42821805390.12625
34,48079705105.65316
35,47320184763.47961
36,62816830900.61888
37,85052017733.6989
38,91079684172.35278
39,86429031372.28627
40,88445342353.0147
41,97669276107.23994
42,90752343193.7284
43,119166739708.10725
44,112718087865.7081
45,124845977630.90486
46,120968521030.51834
47,105423469222.95432
48,115629283735.43182
49,127961766894.27277
50,126293255653.91814
51,120055517903.94714
52,133865222484.99097
53,129971774107.09972
54,109888351090.19638
55,127572719069.11765
56,136177140440.12068
57,140739952069.52255
58,136641418232.99194
59,128356549903.02191
60,127422198050.6339
61,129730204235.36772
62,139512333178.15335
63,152714107367.3514
64,164396456858.1555
65,150589133467.90286
66,144616727097.58636
67,152307711907.52643
68,139724421810.16385
69,157208098175.1905
70,147887154188.64307
71,164890224486.7362
72,157812975571.96332
73,156774926230.7386
74,148832735651.1586
75,154428918643.715
76,139683579347.00317
77,133132429009.23854
78,137189857113.2355
79,163771720889.2189
80,170632658586.53964
81,153282424611.28488
82,140165893502.3812
83,160405540273.3306
84,165246849866.0172
85,152277021558.8448
86,150370106090.82306
87,158290787556.68063
88,142406817530.48303
89,151121128015.22977
90,168417311923.57526
91,156445677969.02048
92,170648154429.3894
93,168034379017.79474
94,135596839629.69846
95,143802596915.07672
96,150822600426.56613
97,150989768381.26944
98,175057596841.89093
99,181653399191.28113
100,173168508692.90884
101,172295827906.78064
102,155289235903.64948
103,152665720359.61896
104,164927461165.76135
105,168509314055.72293
106,171227692479.14267
107,173697905090.72812
108,173527303979.3598
109,143725063366.5162
110,162704062354.43036
111,140036051237.30087
112,161199184117.69104
113,180300887512.4165
